station_id,year,month,n_rain,R5mm (Days with ≥ 5mm rain),R10mm (Days with ≥ 10mm rain),R20mm (Days with ≥ 20mm rain),SDII (Average Daily Rainfall Intensity),PRCPTOT (Total Precipitation),Rx1day (Wettest day),Rx5day (Wettest 5-Day Period),n_maxdy,n_mindy,FD (Frost Days),TR (Tropical Nights),SU (Summer Days),ID (Icing Days),TNn (Coldest Night),TNx (Warmest Night),TXn (Coldest Day),TXx (Warmest Day),DTR (Diurnal Temperature Range),TN10p (Cold Nights),TN90p (Warm Nights),TX10p (Cold Days),TX90p (Warm Days),Latitude,Longitude,Elevation
ATHENRY,2012,1,0,0,0,0,0,0,0,0,31,31,1,0,0,0,-2.531,9.34,5.159,12.6,4.687,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,2,0,0,0,0,0,0,0,0,29,29,5,0,0,0,-4.158,10.31,4.137,12.56,5.075,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,3,0,0,0,0,0,0,0,0,31,31,2,0,0,0,-0.461,9.19,7.92,19.91,7.771,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,4,30,7,1,0,5.308,69,11.6,31.9,30,30,4,0,0,0,-1.466,7.74,8.56,14.47,8.49,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,5,31,3,0,0,4.46,44.6,9.8,18.6,31,31,1,0,1,0,-0.369,12.95,9.9,25.7,8.757,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,6,30,11,5,3,8.685,173.7,32.4,49.6,30,30,0,0,0,0,5.008,14.64,12.66,22.19,6.423,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,7,31,8,3,1,6.594,112.1,27.7,49.8,31,31,0,0,0,0,5.614,16.39,14.82,20.54,6.917,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,8,31,11,2,0,6.139,110.5,15.1,40.9,31,31,0,0,1,0,5.893,15.46,15.54,25.39,6.809,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,9,30,8,3,0,5.7,102.6,14.8,27.9,30,30,0,0,0,0,2.459,14.47,11.19,20.11,6.806,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,10,31,9,6,0,8.153,122.3,19.7,53.2,31,31,4,0,0,0,-2.426,9.8,7.98,15.33,7.891,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,11,30,10,4,1,6.485,129.7,22.5,55.5,30,30,8,0,0,0,-3.475,11.49,3.543,13.19,6.479,0,0,0,0,53.3,-8.8,40
ATHENRY,2012,12,31,9,3,2,6.841,150.5,24.2,64.4,31,31,6,0,0,0,-3.22,7.26,3.054,13.33,6.347,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,1,31,11,4,1,7.671,130.4,24.6,44.2,31,31,13,0,0,0,-4.883,10.06,2.854,12.95,6.633,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,2,28,3,1,0,4.46,44.6,11.2,26.9,28,28,9,0,0,0,-4.82,8.48,2.57,11.35,6.416,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,3,31,3,0,0,4.288,34.3,8.2,13.4,31,31,17,0,0,0,-6.326,8.12,2.917,14.26,7.296,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,4,30,8,3,0,6.687,100.3,17.8,48,30,30,5,0,0,0,-4.244,9.03,6.086,15.55,8.122,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,5,31,5,3,1,5.322,95.8,27.9,45.7,31,31,0,0,0,0,2.95,11.2,10.67,19.45,7.037,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,6,30,6,2,0,6.511,58.6,14.3,41.7,30,30,0,0,0,0,6.354,13.3,14.52,24.3,8.238,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,7,31,6,4,2,10.95,109.5,27.4,47.4,31,31,0,0,7,0,8.61,16.01,15.18,29.23,9.367,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,8,31,3,2,1,5.191,57.1,21.3,66.8,31,31,0,0,0,0,7.81,16,16.26,21.26,6.644,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,9,30,2,0,0,3.723,48.4,8.7,28.3,30,30,0,0,0,0,4.779,15.01,11.6,22.33,6.995,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,10,31,10,4,0,6.221,118.2,14.7,32.8,31,31,0,0,0,0,1.446,15.56,11.54,20.29,6.808,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,11,30,6,3,1,7.408,96.3,22.7,41.5,30,30,6,0,0,0,-3.562,9.2,6.451,13.44,6.713,0,0,0,0,53.3,-8.8,40
ATHENRY,2013,12,31,15,7,3,9.53,219.2,29.1,87.3,31,31,5,0,0,0,-1.621,9.87,6.267,14.96,6.283,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,1,31,15,8,1,7.871,188.9,20.5,58.1,31,31,7,0,0,0,-2.152,8.68,4.826,12.27,6.071,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,2,28,17,3,0,7.008,168.2,14.9,52.2,28,28,3,0,0,0,-3.184,5.668,6.213,11.28,6.458,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,3,31,7,4,0,6.269,100.3,17.8,40.8,31,31,2,0,0,0,-0.911,8.95,7.2,14.33,7.075,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,4,30,3,1,0,5.144,46.3,12.4,23.7,30,30,0,0,0,0,0.478,9.26,10.94,18.52,8.31,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,5,31,8,3,0,6.144,98.3,15.4,43.2,31,31,0,0,0,0,4.662,11.09,11.26,21.38,7.18,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,6,30,2,1,0,3.89,38.9,10.6,19.3,30,30,0,0,0,0,2.603,15.15,14.85,24.67,8.772,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,7,31,3,1,1,5.005,95.1,31.9,37.5,31,31,0,0,2,0,6.459,16.42,16.79,26.65,7.599,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,8,31,7,4,0,6.671,93.4,17.5,30.2,31,31,0,0,0,0,5.873,14.04,15.22,21.67,7.337,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,9,30,0,0,0,2.04,10.2,4.2,23.9,30,30,0,0,0,0,2.916,14.54,14.95,22.63,9.313,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,10,31,13,2,0,7.084,134.6,19.3,44,31,31,1,0,0,0,-0.015,13.25,10.89,17.31,7.594,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,11,30,8,5,3,9,135,27.1,54.7,30,30,5,0,0,0,-1.885,8.24,7.58,13.82,7.82,0,0,0,0,53.3,-8.8,40
ATHENRY,2014,12,31,13,3,0,6.305,126.1,15.6,39.3,31,31,11,0,0,0,-4.72,10.42,4.791,12.07,6.886,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,1,31,15,7,1,7.965,183.2,25,63.8,31,31,8,0,0,0,-4.654,8.07,2.837,13.68,6.805,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,2,28,6,1,0,5.583,67,10.9,34.2,28,28,9,0,0,0,-5.38,5.533,4.323,12.04,7.242,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,3,31,8,5,0,7.056,127,17.1,45.9,31,31,9,0,0,0,-4.136,8.57,5.928,13.65,8.408,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,4,30,5,3,1,7.38,73.8,20.8,40.3,30,30,2,0,0,0,-1.78,9.99,8.79,19.06,11.35,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,5,31,11,4,1,6.533,137.2,21.8,55.2,31,31,0,0,0,0,1.773,10.36,10.61,16.52,7.247,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,6,30,3,0,0,4.5,40.5,9.6,30.4,30,30,0,0,0,0,2.435,15.35,11.61,22.83,8.031,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,7,31,13,3,0,6.476,136,17.5,39.8,31,31,0,0,0,0,4.412,14.16,14.48,21.28,6.727,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,8,31,10,3,0,5.911,112.3,18.9,46.2,31,31,0,0,0,0,4.917,13.73,15.6,20.89,7.02,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,9,30,5,5,1,8.88,88.8,23.3,67,30,30,0,0,0,0,4.103,13.06,14.07,20.23,7.371,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,10,31,6,1,0,6.33,63.3,16.8,27.3,31,31,0,0,0,0,0.021,11.3,10.87,17.4,7.366,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,11,30,14,8,1,9.504,218.6,33.5,85.3,30,30,1,0,0,0,-1.101,11.72,7.05,16.33,6.545,0,0,0,0,53.3,-8.8,40
ATHENRY,2015,12,31,20,10,5,10.186,295.4,34.5,74.7,31,31,0,0,0,0,0.538,11.5,4.084,14.84,5.602,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,1,31,12,3,1,6.771,142.2,24.2,59.2,31,31,8,0,0,0,-3.701,10.56,3.515,14.07,6.067,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,2,29,8,3,1,7.179,136.4,30,44.5,29,29,13,0,0,0,-5.104,8.52,5.405,10.99,7.206,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,3,31,4,2,0,4.68,70.2,17.8,36,31,31,5,0,0,0,-2.374,8.69,5.996,13.64,7.622,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,4,30,2,0,0,3.425,54.8,8.4,19.5,30,30,4,0,0,0,-0.917,7.41,8.87,17.24,8.818,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,5,31,3,1,0,4.345,47.8,13.2,25.2,31,31,0,0,0,0,0.107,12.33,11.45,22.17,9.513,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,6,30,7,2,1,6.231,99.7,21.1,36.6,30,30,0,0,0,0,4.323,15.07,15.75,23.49,7.739,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,7,31,4,1,0,4.242,80.6,16.1,32.1,31,31,0,0,1,0,7.37,15.23,14.75,28.41,6.243,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,8,31,8,3,0,6.147,92.2,15.5,47.1,31,31,0,0,1,0,8,15,16.19,25.5,6.815,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,9,30,13,2,0,5.991,137.8,14.9,41.4,30,30,0,0,0,0,4.976,16.99,13.29,21.62,6.212,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,10,31,5,1,0,5.37,53.7,17.1,35.6,31,31,1,0,0,0,-0.613,12.59,11.5,17.22,7.321,0,0,0,0,53.3,-8.8,40
