station_id,Latitude,Longitude,Elevation
ATHENRY,53.3,-8.8,40
BALLYHAISE,54.1,-7.3,78
BELMULLET,54.2,-10.0,9
BIRR,53.1,-7.9,72
CASEMENT,53.3,-6.4,91
CLAREMORRIS,53.7,-9.0,68
CLONES,54.2,-7.2,89
CORK AIRPORT,51.8,-8.5,155
DUBLIN AIRPORT,53.4,-6.2,71
DUNSANY,53.5,-6.7,83
FINNER,54.5,-8.2,33
GURTEEN,53.0,-8.0,75
JOHNSTOWN,52.3,-6.5,62
KILKENNY,52.7,-7.3,65
KNOCK AIRPORT,53.9,-8.8,201
MACE HEAD,53.3,-9.9,21
MALIN HEAD,55.4,-7.3,20
MARKREE,54.2,-8.5,34
MOORE PARK,52.2,-8.3,46
MT DILLON,53.7,-8.0,39
MULLINGAR,53.5,-7.4,101
NEWPORT,53.9,-9.6,22
OAK PARK,52.9,-6.9,62
PHOENIX PARK,53.4,-6.3,48
ROCHES POINT,51.8,-8.2,40
ROSSLARE,52.2,-6.3,26
SHANNON AIRPORT,52.7,-8.9,15
SherkinIsland,51.5,-9.4,21
VALENTIA OBSERVATORY,51.9,-10.2,24
